timestamp,protocolo,ip_origem,ip_destino,proto_num,tamanho_bytes
"2025-11-24 18:08:27.177",IPv4,192.168.253.11,168.181.126.108,17,"-",76
"2025-11-24 18:08:27.232",IPv4,168.181.126.108,192.168.253.11,17,"-",76
"2025-11-24 18:08:33.156",IPv4,192.168.253.11,4.228.31.149,6,"-",60
"2025-11-24 18:08:33.193",IPv4,4.228.31.149,192.168.253.11,6,"-",60
"2025-11-24 18:08:33.242",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.271",IPv4,192.168.253.11,4.228.31.149,6,"-",1722
"2025-11-24 18:08:33.297",IPv4,192.168.253.11,4.228.31.149,6,"-",298
"2025-11-24 18:08:33.327",IPv4,4.228.31.149,192.168.253.11,6,"-",52
"2025-11-24 18:08:33.358",IPv4,4.228.31.149,192.168.253.11,6,"-",2900
"2025-11-24 18:08:33.392",IPv4,4.228.31.149,192.168.253.11,6,"-",684
"2025-11-24 18:08:33.427",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.465",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.500",IPv4,192.168.253.11,4.228.31.149,6,"-",1151
"2025-11-24 18:08:33.528",IPv4,4.228.31.149,192.168.253.11,6,"-",64
"2025-11-24 18:08:33.559",IPv4,4.228.31.149,192.168.253.11,6,"-",52
"2025-11-24 18:08:33.587",IPv4,4.228.31.149,192.168.253.11,6,"-",210
"2025-11-24 18:08:33.621",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.660",IPv4,4.228.31.149,192.168.253.11,6,"-",1519
"2025-11-24 18:08:33.701",IPv4,4.228.31.149,192.168.253.11,6,"-",76
"2025-11-24 18:08:33.738",IPv4,4.228.31.149,192.168.253.11,6,"-",52
"2025-11-24 18:08:33.777",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.807",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.838",IPv4,192.168.253.11,4.228.31.149,6,"-",76
"2025-11-24 18:08:33.878",IPv4,192.168.253.11,4.228.31.149,6,"-",52
"2025-11-24 18:08:33.940",IPv4,4.228.31.149,192.168.253.11,6,"-",40
"2025-11-24 18:08:34.066",IPv4,4.228.31.149,192.168.253.11,6,"-",40
"2025-11-24 18:08:35.202",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:16,0,"-",76
"2025-11-24 18:08:35.212",IPv4,192.168.240.1,224.0.0.22,2,"-",40
"2025-11-24 18:08:35.238",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:16,0,"-",76
"2025-11-24 18:08:35.270",IPv4,192.168.240.1,224.0.0.22,2,"-",40
"2025-11-24 18:08:35.427",IPv4,192.168.240.1,239.255.255.250,17,"-",165
"2025-11-24 18:08:35.457",IPv4,192.168.240.1,239.255.255.250,17,"-",165
"2025-11-24 18:08:35.677",IPv4,192.168.240.1,224.0.0.22,2,"-",40
"2025-11-24 18:08:35.688",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:16,0,"-",76
"2025-11-24 18:08:38.460",IPv4,192.168.240.1,239.255.255.250,17,"-",165
"2025-11-24 18:08:38.491",IPv4,192.168.240.1,239.255.255.250,17,"-",165
"2025-11-24 18:08:41.727",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:41.766",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
"2025-11-24 18:08:41.821",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:41.848",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
"2025-11-24 18:08:42.731",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:42.754",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
"2025-11-24 18:08:42.799",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:42.843",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
"2025-11-24 18:08:44.747",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:44.765",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
"2025-11-24 18:08:44.813",IPv4,192.168.240.1,224.0.0.251,17,"-",68
"2025-11-24 18:08:44.864",IPv6,fe80:0:0:0:802b:566d:cd1c:e958,ff02:0:0:0:0:0:0:fb,17,"-",88
