timestamp,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_bytes
"2025-11-24 18:08:27.177",UDP,192.168.253.11,123,168.181.126.108,123,76
"2025-11-24 18:08:27.232",UDP,168.181.126.108,123,192.168.253.11,123,76
"2025-11-24 18:08:33.156",TCP,192.168.253.11,54806,4.228.31.149,443,60
"2025-11-24 18:08:33.193",TCP,4.228.31.149,443,192.168.253.11,54806,60
"2025-11-24 18:08:33.242",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.271",TCP,192.168.253.11,54806,4.228.31.149,443,1722
"2025-11-24 18:08:33.297",TCP,192.168.253.11,54806,4.228.31.149,443,298
"2025-11-24 18:08:33.327",TCP,4.228.31.149,443,192.168.253.11,54806,52
"2025-11-24 18:08:33.358",TCP,4.228.31.149,443,192.168.253.11,54806,2900
"2025-11-24 18:08:33.392",TCP,4.228.31.149,443,192.168.253.11,54806,684
"2025-11-24 18:08:33.427",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.465",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.500",TCP,192.168.253.11,54806,4.228.31.149,443,1151
"2025-11-24 18:08:33.528",TCP,4.228.31.149,443,192.168.253.11,54806,64
"2025-11-24 18:08:33.559",TCP,4.228.31.149,443,192.168.253.11,54806,52
"2025-11-24 18:08:33.587",TCP,4.228.31.149,443,192.168.253.11,54806,210
"2025-11-24 18:08:33.621",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.660",TCP,4.228.31.149,443,192.168.253.11,54806,1519
"2025-11-24 18:08:33.701",TCP,4.228.31.149,443,192.168.253.11,54806,76
"2025-11-24 18:08:33.738",TCP,4.228.31.149,443,192.168.253.11,54806,52
"2025-11-24 18:08:33.777",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.807",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.838",TCP,192.168.253.11,54806,4.228.31.149,443,76
"2025-11-24 18:08:33.878",TCP,192.168.253.11,54806,4.228.31.149,443,52
"2025-11-24 18:08:33.940",TCP,4.228.31.149,443,192.168.253.11,54806,40
"2025-11-24 18:08:34.066",TCP,4.228.31.149,443,192.168.253.11,54806,40
"2025-11-24 18:08:35.202",-,fe80:0:0:0:802b:566d:cd1c:e958,-,ff02:0:0:0:0:0:0:16,-,76
"2025-11-24 18:08:35.212",-,192.168.240.1,-,224.0.0.22,-,40
"2025-11-24 18:08:35.238",-,fe80:0:0:0:802b:566d:cd1c:e958,-,ff02:0:0:0:0:0:0:16,-,76
"2025-11-24 18:08:35.270",-,192.168.240.1,-,224.0.0.22,-,40
"2025-11-24 18:08:35.427",UDP,192.168.240.1,59271,239.255.255.250,1900,165
"2025-11-24 18:08:35.457",UDP,192.168.240.1,59271,239.255.255.250,1900,165
"2025-11-24 18:08:35.677",-,192.168.240.1,-,224.0.0.22,-,40
"2025-11-24 18:08:35.688",-,fe80:0:0:0:802b:566d:cd1c:e958,-,ff02:0:0:0:0:0:0:16,-,76
"2025-11-24 18:08:38.460",UDP,192.168.240.1,59271,239.255.255.250,1900,165
"2025-11-24 18:08:38.491",UDP,192.168.240.1,59271,239.255.255.250,1900,165
"2025-11-24 18:08:41.727",UDP,192.168.240.1,5353,224.0.0.251,5353,68
